Date,Wsp_44m,Wsp_44m_std,ActPow,ActPow_std
2018-07-18 09:20:00,5.27109,0.347884,0.0,0.0
2018-07-18 09:30:00,5.49819,0.429253,0.0,0.0
2018-07-18 09:40:00,5.27168,0.405367,0.0,0.0
2018-07-18 09:50:00,4.89989,0.284001,0.0,0.0
2018-07-18 10:00:00,5.0061,0.315031,0.0,0.0
2018-07-18 10:10:00,4.61092,0.352248,0.0,0.0
2018-07-18 10:20:00,4.63894,0.386295,0.0,0.0
2018-07-18 10:30:00,4.78021,0.51713,0.0,0.0
2018-07-18 10:40:00,5.83679,0.35917,0.0,0.0
2018-07-18 10:50:00,5.7952,0.299141,0.0,0.0
2018-07-18 11:00:00,5.90053,0.32175,0.0,0.0
2018-07-18 11:10:00,5.69142,0.353646,0.0,0.0
2018-07-18 11:20:00,5.99209,0.427179,0.0,0.0
2018-07-18 11:30:00,6.23518,0.424518,0.0,0.0
2018-07-18 11:40:00,6.56736,0.530806,0.0,0.0
2018-07-18 11:50:00,7.02999,0.517366,0.0,0.0
2018-07-18 12:00:00,6.81815,0.450071,0.0,0.0
2018-07-18 12:10:00,6.71323,0.548002,0.0,0.0
2018-07-18 12:20:00,6.80495,0.434816,0.0,0.0
2018-07-18 12:30:00,6.67638,0.503663,0.0,0.0
2018-07-18 12:40:00,6.78796,0.469524,0.0,0.0
2018-07-18 12:50:00,7.26448999999999,0.490989,0.0,0.0
2018-07-18 13:00:00,7.80566,0.415676,0.0,0.0
2018-07-18 13:10:00,7.24733999999999,0.53515,0.0,0.0
2018-07-18 13:20:00,7.03813,0.749539,0.0,0.0
2018-07-18 13:30:00,6.94563999999999,0.465690999999999,0.0,0.0
2018-07-18 13:40:00,6.84801,0.623575,0.0,0.0
2018-07-18 13:50:00,6.6096,0.743145,0.0,0.0
2018-07-18 14:00:00,6.70304,0.621553,0.0,0.0
2018-07-18 14:10:00,6.87611999999999,0.489977999999999,0.0,0.0
2018-07-18 14:20:00,6.72663,0.471693,0.0,0.0
2018-07-18 14:30:00,6.13681,1.14854,0.0,0.0
2018-07-18 14:40:00,7.20326,0.680197,0.0,0.0
2018-07-18 14:50:00,6.80483999999999,0.834559,0.0,0.0
2018-07-18 15:00:00,6.81185,0.846052,0.0,0.0
2018-07-18 15:10:00,6.70541999999999,0.968505,0.0,0.0
2018-07-18 15:20:00,6.94464,0.799613,0.0,0.0
2018-07-18 15:30:00,7.44751,0.802005,0.0,0.0
2018-07-18 15:40:00,7.08738,0.889795999999999,0.0,0.0
2018-07-18 15:50:00,7.10129,0.953059,0.0,0.0
2018-07-18 16:00:00,7.68136,0.877475,0.0,0.0
2018-07-18 16:10:00,7.545,0.740763,0.0,0.0
2018-07-18 16:20:00,7.61417,0.823312,0.0,0.0
2018-07-18 16:30:00,7.70028,0.725741,0.0,0.0
2018-07-18 16:40:00,7.0774,0.902883,0.0,0.0
2018-07-18 16:50:00,7.68816,0.778238,0.0,0.0
2018-07-18 17:00:00,7.61906,0.686351,0.0,0.0
2018-07-18 17:10:00,7.15368999999999,0.818948,0.0,0.0
2018-07-18 17:20:00,7.21103,0.838146,0.0,0.0
2018-07-18 17:30:00,6.9186,0.871309,0.0,0.0
2018-07-18 17:40:00,6.96193999999999,0.87664,0.0,0.0
2018-07-18 17:50:00,5.98849,0.716292,0.0,0.0
2018-07-18 18:00:00,5.82397,0.70687,0.0,0.0
2018-07-18 18:10:00,6.08626,0.737001,0.0,0.0
2018-07-18 18:20:00,6.24144,0.665269,0.0,0.0
2018-07-18 18:30:00,5.84054,0.608598,0.0,0.0
2018-07-18 18:40:00,6.28391999999999,0.75049,0.0,0.0
2018-07-18 18:50:00,5.94054,0.616237,0.0,0.0
2018-07-18 19:00:00,4.48955,0.532077,0.0,0.0
2018-07-18 19:10:00,4.9685,0.64289,0.0,0.0
2018-07-18 19:20:00,4.81461,0.586093,0.0,0.0
2018-07-18 19:30:00,5.51233,0.553758,0.0,0.0
